;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;vitamin_a;vitamin_b12;vitamin_c;vitamin_d;vitamin_e;calcium;phosphorous;potassium;zink;protein;carbohydrate;fiber;sugars
0;Lemon grass (citronella), raw;100.0;99.0;0.5;0.1;0.0;6.0;6.0;0.0;2.6;0.0;0.0;65.0;101.0;723.0;2.23;1.82;25.31;0.0;0.0
1;Salad dressing, reduced calorie, french dressing;100.0;227.0;13.0;1.9;0.0;804.0;204.0;0.0;0.0;0.0;2.86;11.0;14.0;79.0;0.18;0.4;27.0;0.0;25.92
2;Danish pastry, unenriched (includes apple, cinnamon, raisin, strawberry), fruit;100.0;371.0;19.0;2.8;40.0;354.0;74.0;0.13;3.9;0.0;0.0;46.0;89.0;83.0;0.54;5.4;47.8;1.9;0.0
3;Veal, braised, cooked, heart, variety meats and by-products;100.0;186.0;6.8;1.8;176.0;58.0;0.0;14.46;10.0;0.0;0.0;8.0;250.0;199.0;2.24;29.12;0.13;0.0;0.0
4;"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak";100.0;223.0;11.0;3.6;91.0;62.0;8.0;2.72;0.0;4.0;0.07;7.0;176.0;312.0;8.49;30.64;0.0;0.0;0.0
5;CAMPBELL'S Red and White, condensed, Chicken NOODLEO's Soup;100.0;71.0;2.0;0.8;16.0;381.0;397.0;0.0;0.0;0.0;0.0;0.0;0.0;429.0;0.0;2.38;11.9;0.8;1.59
6;CAMPBELL'S Homestyle HEALTHY REQUEST Chicken with Whole Grain Pasta Soup;100.0;40.0;0.8;0.2;4.0;167.0;408.0;0.0;0.0;0.0;0.0;11.0;45.0;265.0;0.2;3.8;4.28;0.7;0.32
7;Pancakes, prepared, incomplete, dry mix, plain;100.0;218.0;7.7;2.0;71.0;505.0;250.0;0.34;0.6;0.0;0.0;215.0;313.0;199.0;0.75;7.8;28.9;1.9;0.0
8;Whey, fluid, acid;100.0;24.0;0.1;0.1;1.0;48.0;7.0;0.18;0.1;0.0;0.0;103.0;78.0;143.0;0.43;0.76;5.12;0.0;5.12
9;Snacks, unsalted nuts and seeds, with chocolate chips, regular, trail mix;100.0;484.0;32.0;6.1;0.0;27.0;44.0;0.0;1.3;0.0;0.0;109.0;387.0;648.0;3.14;14.2;44.9;0.0;0.0
10;Milk, without added vitamin A and vitamin D, 2% milkfat, fluid, reduced fat;100.0;50.0;2.0;1.3;8.0;47.0;102.0;0.53;0.2;1.0;0.03;120.0;92.0;140.0;0.48;3.3;4.8;0.0;5.06
11;Nuts, without salt added, plain, cashew butter;100.0;587.0;49.0;9.8;0.0;15.0;0.0;0.0;0.0;0.0;0.0;43.0;457.0;546.0;5.16;17.56;27.57;2.0;0.0
12;Salad dressing, coleslaw;100.0;390.0;33.0;4.9;26.0;710.0;63.0;0.21;0.0;3.0;3.08;14.0;26.0;9.0;0.18;0.9;23.8;0.1;20.11
13;Candies, sweet chocolate;100.0;507.0;34.0;20.0;0.0;16.0;0.0;0.0;0.0;0.0;0.26;24.0;147.0;290.0;1.5;3.9;60.4;5.5;51.48
14;Crackers, wheat, melba toast;100.0;374.0;2.3;0.3;0.0;837.0;0.0;0.0;0.0;0.0;0.0;43.0;165.0;148.0;1.5;12.9;76.4;7.4;0.0
15;Noodles, dry, soba, japanese;100.0;336.0;0.7;0.1;0.0;792.0;0.0;0.0;0.0;0.0;0.0;35.0;254.0;252.0;1.71;14.38;74.62;0.0;0.0
16;Frostings, ready-to-eat, creamy, chocolate;100.0;397.0;18.0;5.5;0.0;183.0;1.0;0.0;0.0;0.0;1.56;8.0;79.0;196.0;0.29;1.1;63.2;0.9;57.7
17;Cereals ready-to-eat, KELLOGG'S FROSTED FLAKES, KELLOGG;100.0;369.0;1.7;0.5;0.0;468.0;1559.0;8.1;24.2;188.0;0.07;3.0;47.0;76.0;0.15;3.96;89.2;2.2;35.43
18;Nuts, raw, ginkgo nuts;100.0;182.0;1.7;0.3;0.0;7.0;558.0;0.0;15.0;0.0;0.0;2.0;124.0;510.0;0.34;4.32;37.6;0.0;0.0
19;Borage, with salt, drained, boiled, cooked;100.0;25.0;0.8;0.2;0.0;324.0;4385.0;0.0;32.5;0.0;0.0;102.0;55.0;491.0;0.22;2.09;3.55;0.0;0.0
20;CAMPBELL'S Red and White, condensed, Cream of Celery Soup;100.0;73.0;4.8;0.8;4.0;516.0;242.0;0.0;0.0;0.0;0.0;16.0;0.0;460.0;0.0;0.81;7.26;2.4;0.81
21;Pork, roasted, cooked, separable lean and fat, whole, loin, fresh;100.0;248.0;15.0;5.4;82.0;59.0;9.0;0.71;0.6;42.0;0.19;19.0;242.0;408.0;2.32;27.09;0.0;0.0;0.0
22;KEEBLER, Honey Wheat, Snack Sticks, CLUB Crackers;100.0;471.0;21.0;3.5;0.0;890.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.0;0.0;6.5;66.0;3.1;14.0
23;PREGO Pasta, ready-to-serve, Fresh Mushroom Italian Sauce;100.0;54.0;1.2;0.8;0.0;369.0;385.0;0.0;1.8;0.0;0.0;15.0;0.0;269.0;0.0;1.54;10.0;2.3;8.46
24;Soup, ready-to-serve, chunky, canned, chicken rice;100.0;53.0;1.3;0.4;5.0;370.0;2418.0;0.13;1.6;0.0;0.24;14.0;30.0;45.0;0.4;5.11;5.41;0.4;0.6
25;SUNSHINE, Crackers (made with Whole Grain), CHEEZ-IT;100.0;511.0;27.0;6.1;1.0;824.0;395.0;0.0;0.0;0.0;0.0;116.0;51.0;172.0;0.0;10.7;58.2;4.3;0.5
26;USDA Commodity, reduced fat, cheddar, cheese;100.0;282.0;18.0;12.0;56.0;725.0;633.0;1.66;0.0;13.0;0.16;905.0;583.0;93.0;4.3;27.2;2.0;0.0;0.58
27;Candies, SNICKERS Bar, MARS SNACKFOOD US;100.0;491.0;24.0;9.1;13.0;239.0;161.0;0.16;0.5;0.0;1.5;93.0;190.0;323.0;2.5;7.53;61.51;2.3;50.47
28;"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck";100.0;144.0;6.2;2.1;57.0;58.0;0.0;3.97;0.0;0.0;0.09;5.0;196.0;327.0;3.72;20.54;0.0;0.0;0.0
29;Game meat, stewed, cooked, wild, rabbit;100.0;173.0;3.5;1.1;123.0;45.0;0.0;6.51;0.0;0.0;0.41;18.0;240.0;343.0;2.38;33.02;0.0;0.0;0.0
